AC126283.1
COX6B1P6
NPM1P39
BX284668.5
AL157823.2
AC098798.1
MIR3162
AC130650.1
LINC01864
MIR6743
RNU6-760P
RPS10P5
AC004596.1
AC013391.2
AC004066.1
CU634019.6
SNORA36A
AC124067.2
AC108706.1
AC068408.1
AC024475.2
AC010678.1
DDX55P1
LINC01847
AC067852.4
RUSC1-AS1
AC135584.1
AL390754.1
AL365223.1
AL021331.1
MIR4328
LINC00523
AL079341.1
AL162373.1
SMAD1-AS2
AL157838.1
AC015908.1
AC016595.1
RPL3P4
AP000233.2
RN7SKP269
AC023813.4
OR8Q1P
TMX2P1
AC093698.2
AL356515.1
MIR6744
MIR4255
DNAJC19P3
AC023538.1
AL596266.1
RPL23AP81
AL512637.1
LINC00894
MIR4509-2
SNRPFP3
FAM35BP
MIR504
AC004832.5
U91328.1
AC025180.1
AC046176.1
MTND2P20
RPL10P18
HIGD1AP6
AL353740.1
AL118508.3
AF131215.6
AC127024.8
RNY4P27
AC007274.3
AL031283.3
AP001830.2
HMGB3P26
AL139289.2
AC018752.1
BX072579.1
AP001171.1
AC127537.2
MIR6784
RN7SL564P
MIR4327
AC012640.3
AC063924.1
MTND4LP20
AC022655.2
RN7SL505P
SMARCE1P1
AC121761.2
AC064847.1
TMSB4XP2
RNU6-1242P
DSG2-AS1
AC012513.2
COL4A2-AS1
AC110716.1
AC023115.1
AC104806.2
CYCSP44
AL627230.3
AC024288.1
VPS13A-AS1
AL009178.2
RNU6-1257P
AL109811.2
AC063952.3
AP000720.1
TPMTP3
UG0898H09
AC100773.1
AL592114.3
LINC02042
Z93930.3
LINC01038
CYP51A1P3
AL390061.1
GOLGA8VP
VLDLR-AS1
AC022239.1
MIR3934
AC104010.1
IGHV3-60
AC010680.2
AC009997.1
MIR148B
AL358453.1
AC008526.1
AC133539.1
RN7SL477P
AC105942.1
Z97353.1
AC002543.1
ELOCP5
EEF1A1P21
AL645939.5
AC008050.1
NDUFA5P5
RNU6-538P
AC037486.1
AL513523.3
MBL3P
AL683887.1
RNU6-500P
BCRP3
OR52P1P
AC116456.2
MIR3938
RNU6-1144P
AC008655.1
MIR3128
RN7SL619P
TOMM20P3
AC018793.1
LINC00210
AC013444.1
AC016556.1
EIF4A1P5
AC103851.1
ZNF33BP1
AL136439.1
AC004898.1
AL353803.4
RN7SL317P
CRYZP1
AC107918.2
AC025186.1
AC092132.1
AL022722.1
LINC01637
AL138921.1
MEG8_2
ZNF723
D21S2088E
ENPP7P1
AC020917.3
MIR202
AC091544.3
MIR4749
LNCPRESS2
AC112191.3
AP003385.2
TPT1P9
AL137849.1
AL353801.2
AC079336.1
AP002856.1
NPM1P10
UBE2L2
